发放时间,渠道,金额,数量,团长ID,团长人数,优惠券编号
2017-12-18 13:32:45,lijun,1000,10,"135225,20949,53849,170878,225915,1472,148088,242687,138658,43076,40805,454582,87338,188749,85184,514677,57612,221031,82193,28948,140983,394759,24825,30192,67150,245896,33281,46085,130302,76818,105432,900307,51586,715998,259182,383020,872033,109483,580483,39871,719008,914474,765762,29561,894470,875283,613583,892919,122574,757223,201616,357654,837045,122449,721791,917998,548668,878801,361250,914102,853020,37162,148150,747353,878377,484207,920146,72026,792579",69,6783
2017-12-18 13:33:24,lijun,1000,30,8634,1,6783
2017-12-18 20:10:17,lijun,1000,15,"381307,270083,144612,49859,120770,131234,579892,500384,44186,119568,144536,96114",12,6783
2017-12-18 20:10:38,lijun,1000,20,"27997,38617,124016,522438,48416,136788,136755,59,202355",9,6783
2017-12-18 20:11:02,lijun,1000,25,"430,27980,89159,73741,35987",5,6783
2017-12-19 10:37:50,lijun,1000,15,236197,1,6783
2017-12-19 10:37:50,lijun,1000,15,236197,1,6783
2017-12-19 12:53:54,lijun,1000,15,728691,1,6783
2017-12-19 12:54:24,lijun,1000,20,686746,1,6783
2017-12-18 18:50:09,liyuntian,100,1,0,1,7514
2017-12-18 18:50:52,liyuntian,1000,2,3311,1,7505
2017-12-01 19:56:03,maweidong,1000,2,52718,1,7397
2017-12-01 20:35:42,maweidong,1000,2,"718878,330114",2,7397
2017-12-02 15:47:35,maweidong,1000,2,671960,1,7475
2017-12-02 15:50:37,maweidong,1000,5,"72108,18433,67150,330114",4,7476
2017-12-02 15:51:05,maweidong,1000,2,647704,1,7476
2017-12-02 15:53:23,maweidong,1000,5,718878,1,7476
2017-12-02 16:16:42,maweidong,1000,2,20492,1,7476
2017-12-02 16:18:29,maweidong,1000,5,462112,1,7476
2017-12-02 18:17:33,maweidong,1000,3,"63750,765762",2,7476
2017-12-03 19:11:58,maweidong,1000,3,125732,1,7476
2017-12-03 19:14:51,maweidong,1000,5,125732,1,7476
2017-12-03 19:25:52,maweidong,1000,7,125732,1,7476
2017-12-04 10:37:35,maweidong,1000,5,765762,1,7476
2017-12-04 10:59:05,maweidong,1000,3,88209,1,7476
2017-12-04 11:16:26,maweidong,1000,5,148088,1,7476
2017-12-04 13:33:58,maweidong,1000,3,500865,1,7476
2017-12-04 18:46:12,maweidong,1000,5,173257,1,7476
2017-12-05 13:54:13,maweidong,1000,5,"458819,72108",2,7476
2017-12-05 14:11:43,maweidong,1000,5,20492,1,7476
2017-12-05 15:27:04,maweidong,1000,10,145007,1,7476
2017-12-05 19:20:38,maweidong,1000,3,330114,1,7476
2017-12-06 10:41:37,maweidong,1000,2,173257,1,7476
2017-12-06 11:43:03,maweidong,1000,3,276341,1,7476
2017-12-06 14:11:55,maweidong,1000,5,"72108,306604",2,7476
2017-12-06 14:12:26,maweidong,1000,5,494868,1,7476
2017-12-06 14:16:40,maweidong,1000,5,84393,1,7476
